Semester,Final Score,Final Grade
Spring 2018,74.82,C
Spring 2018,73.53,C
Spring 2018,76.04,BC
Spring 2018,85.09,AB
Spring 2018,85.23,AB
Spring 2018,77.86,BC
Spring 2018,59.78,F
Spring 2018,86.77,AB
Spring 2018,79.05,BC
Spring 2018,76.37,BC
Spring 2018,62.15,F
Spring 2018,78.37,BC
Spring 2018,87.42,AB
Spring 2018,75.73,BC
Spring 2018,72.07,C
Spring 2018,74.29,C
Spring 2018,80.56,B
Spring 2018,76.57,BC
Spring 2018,80.68,B
Spring 2018,76.29,BC
Spring 2018,82.71,B
Spring 2018,67.54,F
Spring 2018,87.45,AB
Spring 2018,65.96,F
Spring 2018,66.61,F
Spring 2018,76.12,BC
Spring 2018,71.65,C
Spring 2018,77.56,BC
Spring 2018,63.33,F
Spring 2018,79.78,BC
Spring 2018,67.27,F
Spring 2018,78.72,BC
Spring 2018,72.18,C
Spring 2018,80.76,B
Spring 2018,70.31,C
Spring 2018,78.66,BC
Spring 2018,73.13,C
Spring 2018,78.48,BC
Spring 2018,75.43,BC
Spring 2018,79.7,BC
Spring 2018,78.44,BC
Spring 2018,84.9,B
Spring 2018,79.87,BC
Spring 2018,87.25,AB
Spring 2018,81.19,B
Spring 2018,84.61,B
Spring 2018,85.08,AB
Spring 2018,73.3,C
Spring 2018,84.5,B
Spring 2018,68.85,F
Spring 2018,77.08,BC
Spring 2018,73.41,C
Spring 2018,76.17,BC
Spring 2018,74.42,C
Spring 2018,69.79,F
Spring 2018,81.3,B
Spring 2018,68.81,F
Spring 2018,67.79,F
Spring 2018,78.07,BC
Spring 2018,72.98,C
Spring 2018,82.6,B
Spring 2018,76.44,BC
Spring 2018,72.96,C
Spring 2018,81.52,B
Spring 2018,69.58,F
Spring 2018,70.41,C
Spring 2018,71.45,C
Spring 2018,83.25,B
Spring 2018,82.76,B
Spring 2018,81.19,B
Spring 2018,76.46,BC
Spring 2018,63.15,F
Spring 2018,82.05,B
Spring 2018,82.49,B
Spring 2018,71.31,C
Spring 2018,74.54,C
Spring 2018,75.33,BC
Spring 2018,82.47,B
Spring 2018,82.82,B
Spring 2018,80.86,B
Spring 2018,64.28,F
Spring 2018,79.2,BC
Spring 2018,73.48,C
Spring 2018,68.08,F
Spring 2018,77.6,BC
Spring 2018,75.91,BC
Spring 2018,80.11,B
Spring 2018,74.31,C
Spring 2018,62.68,F
Spring 2018,78.36,BC
Spring 2018,68.78,F
Fall 2021,97.66,A
Fall 2021,92.63,A
Fall 2021,91.66,AB
Fall 2021,91.88,AB
Fall 2021,95.58,A
Fall 2021,93.8,A
Fall 2021,92.15,A
Fall 2021,95.06,A
Fall 2021,83.66,B
Fall 2021,98.12,A
Fall 2021,95.84,A
Fall 2021,86.09,AB
Fall 2021,96.74,A
Fall 2021,95.08,A
Fall 2021,91.17,AB
Fall 2021,97.52,A
Fall 2021,92.75,A
Fall 2021,94.48,A
Fall 2021,95.73,A
Fall 2021,96.25,A
Fall 2021,95.61,A
Fall 2021,95.3,A
Fall 2021,87.11,AB
Fall 2021,90.8,AB
Fall 2021,96.45,A
Fall 2021,94.83,A
Fall 2021,94.57,A
Fall 2021,91.35,AB
Fall 2021,94.79,A
Fall 2021,94.71,A
Fall 2021,97.27,A
Fall 2021,93.37,A
Fall 2021,91.7,AB
Fall 2021,92.23,A
Fall 2021,93.64,A
Fall 2021,98.34,A
Fall 2021,91.9,AB
Fall 2021,98.29,A
Fall 2021,96.45,A
Fall 2021,97.42,A
Fall 2021,95.06,A
Fall 2021,93.5,A
Fall 2021,92.46,A
Fall 2021,98.83,A
Fall 2021,95.55,A
Fall 2021,88.46,AB
Fall 2021,89.95,AB
Fall 2021,95.95,A
Fall 2021,89.95,AB
Fall 2021,91.29,AB
Fall 2021,91.41,AB
Fall 2021,93.03,A
Fall 2021,94.89,A
Fall 2021,95.13,A
Fall 2021,91.22,AB
Fall 2021,95.9,A
Fall 2021,90.71,AB
